Center Number ,Center Name,Center Location ,Reagion ,Gread 6,Gread 9
AMR6\E/00048,أبوبكر الصديق ,بور كندا كسي,6.3,19,12
AMR6\E/00071,أبي بن كعب الاسلامية,ساغومدينة,6.3,8,12
AMR6\E/00033,جنمي كبير جاورا,ديابكو باتفا,6.3,41,9
AMR6\E/00028,جورا كندا,باجغا كندا,6.3,32,21
AMR6\E/00044,سبيل السعادة,دار السلام,6.3,21,11
AMR6\E/00046,شكر الله ,باجقا كندا ,6.3,17,14
AMR6\E/00070,عبدالله  بن  مسعود,تياموي بندا,6.3,15,
AMR6\E/00069,عبدالله بن عباس,جاكندا,6.3,24,
AMR6\E/00073,عثمان بن عفان ,فودى كندا,6.3,18,
AMR6\E/00025,علي ابن أبي طالب , ستكوند,6.3,65,21
AMR6\E/00072,علي بن ابي طالب ,ستكوبا,6.3,33,
AMR6\E/00029,عمار بن ياسر ,بجقكندا ,6.3,38,47
AMR6\E/00066,عمر بن الخطاب,كونكبا,6.3,24,
AMR6\E/00027,مدرسة الحاج محمد واغى  ,غنجور كوتا,6.3,23,11
AMR6\E/00047,معهد الاسلام ,  بريف,6.3,10,
AMR6\E/00054,معهد الاسلام ,بجنكوتو,6.3,17,
AMR6\E/00052,نور الاسلام,بانتوند,6.3,15,
AMR6\E/00040,عثمان بن عفان ,سبي,6.3,17,
